,municipio,qtd_notifi_dengue,data
2507,XAXIM,242,2024-03-01
2753,XAXIM,1017,2024-04-01
2996,XAXIM,922,2024-05-01
3182,XAXIM,125,2024-06-01
3321,XAXIM,16,2024-07-01
3377,XAXIM,3,2024-08-01
3572,XAXIM,1,2024-12-01
3828,XAXIM,1,2025-03-01
3977,XAXIM,8,2025-04-01
4122,XAXIM,6,2025-05-01
4228,XAXIM,1,2025-06-01
4418,XAXIM,1,2025-11-01
4474,XAXIM,1,2025-12-01
